,Unnamed: 0,year,make,model,final_price,mileage,engine,zipcode,engine string
6162,6162,2017,Chevrolet,Chevrolet Corvette C7,78000.0,17000,6200.0,85260,Supercharged 6.2-Liter LT1 V8
6165,6165,1969,Mercedes-Benz,Mercedes-Benz W113 SL,96000.0,84000,2800.0,16509,2.8-liter M130 Inline-Six
6167,6167,1994,Ford,Ford F-Series 1992-1997,30000.0,22000,5000.0,46536,5.0-Liter V8
6168,6168,2004,Porsche,Porsche 996 911,41246.0,75000,3600.0,37924,3.6-Liter Flat-Six
6169,6169,2011,BMW,BMW E90/E92/E93 M3,35000.0,44000,4000.0,30215,4.0-Liter V8
6170,6170,1994,Subaru,Subaru SVX,7100.0,140000,3300.0,90277,3.3-Liter Flat-Six
6173,6173,1969,Chevrolet,Chevrolet Pickup,40600.0,79000,5358.549,34994,Replacement 327ci V8
6176,6176,2014,Morgan,Morgan 3-Wheeler,34000.0,34000,1979.0,97703,"1,979cc S&S Cycle V-Twin"
6178,6178,1960,Porsche,Porsche 356,190000.0,79000,1600.0,97227,Numbers-Matching 1.6L Super 90 Flat-Four
6179,6179,1996,Chevrolet,Chevrolet Pickup,21000.0,155000,5700.0,97304,Vortec 5.7-Liter V8
6180,6180,2003,BMW,BMW E46 3-Series Convertible,13000.0,67000,2500.0,19010,2.5-Liter Inline-Six
6181,6181,1988,Ford,Ford F-Series 1987-1991,27500.0,77000,7300.0,97304,7.3-Liter Diesel V8
6182,6182,1977,BMW,BMW E12 5-Series,17000.0,127000,3000.0,92118,3.0-Liter Inline-Six
6183,6183,1995,Jaguar,Jaguar XJ,16500.0,36000,4000.0,7074,4.0-Liter Inline-Six
6184,6184,2008,Land Rover,Land Rover Range Rover L322,19750.0,73000,4400.0,85215,4.4-liter AJ-V8
6185,6185,2004,Porsche,Porsche 996 Turbo,103000.0,15000,3600.0,60803,Twin-Turbocharged 3.6L Flat-Six
6186,6186,1986,BMW,BMW E30 3-Series,16325.0,51000,2700.0,37210,2.7-Liter Inline-Six
6187,6187,1977,Jeep,Jeep CJ-5,31250.0,73000,4981.648,30904,304ci V8
6188,6188,1959,Ford,Ford Galaxie,40000.0,62000,6390.93,92673,390ci V8
6189,6189,2003,Porsche,Porsche 996 911,22000.0,68000,3600.0,92373,3.6-Liter Flat-Six
6190,6190,1979,Ford,Ford F-Series 1973-1979,21500.0,99000,5751.837,28677,H-Code 351ci V8
6191,6191,2000,Fiat,Fiat 124 Spider,12500.0,49000,2000.0,34134,Fuel-Injected 2.0L Inline-Four
6192,6192,1985,Mazda,Mazda RX-7 FB,14500.0,26000,1100.0,13206,1.1-Liter 12A Rotary
6193,6193,2009,Audi,Audi R8,63100.0,88000,4200.0,55426,4.2-Liter FSI V8
6194,6194,1988,Porsche,Porsche 911 Carrera 3.2,48250.0,131000,3200.0,84738,3.2-Liter Flat-Six
6195,6195,2013,Land Rover,Land Rover Range Rover Sport L320,27000.0,56000,5000.0,7074,5.0-Liter V8
6197,6197,1968,Ford,Ford Mustang 1967-1968,27000.0,80000,4948.874,93422,302ci V8
6199,6199,1983,Porsche,Porsche 911SC,60000.0,65000,3000.0,27608,3.0-Liter Flat Six
6200,6200,2008,Mercedes-Benz,Mercedes-Benz CL-Class,32550.0,25000,5500.0,33314,5.5-Liter V8
6201,6201,1988,Jeep,Jeep Grand Wagoneer,17250.0,145000,5899.32,70447,360ci V8
6202,6202,1990,Alfa Romeo,Alfa Romeo 105/115 Series Spider,21000.0,76000,2000.0,66610,2.0-Liter Inline-Four
6203,6203,1971,Plymouth,Plymouth Barracuda,86000.0,84000,8193.5,60525,500ci Wedge V8
6204,6204,2004,Porsche,Porsche 996 911,29000.0,74000,3600.0,32207,3.6-Liter Flat-Six
6205,6205,1970,Chevrolet,Chevrolet Chevelle,40000.0,1000,6489.252,53066,Replacement 396ci V8
6206,6206,2007,Mercedes-Benz,Mercedes-Benz R230 SL,32500.0,32000,5500.0,12302,5.5-Liter V8
6207,6207,2004,Mercedes-Benz,Mercedes-Benz W211 E-Class,12000.0,75000,3200.0,95678,3.2-Liter M112 V6
6208,6208,2012,Porsche,Porsche 991 911,76000.0,20000,3800.0,32080,3.8-Liter Flat-Six
6209,6209,2007,BMW,BMW Z4 Roadster E85,15500.0,50000,3000.0,10560,3.0-Liter Inline-Six
6210,6210,1978,Volkswagen,Volkswagen Beetle,15500.0,14000,1600.0,28677,1.6-Liter Flat-Four 
6211,6211,1999,BMW,BMW E36 M3,42000.0,23000,3200.0,80903,3.2-Liter Inline-Six
6212,6212,1961,Fiat,Fiat 600,111000.0,18000,633.0,11746,633cc OHV Inline-Four
6213,6213,1964,Ford,Ford F-Series 1961-1966,22500.0,67000,4785.004,3870,292ci V8
6214,6214,1980,Datsun,Datsun 280ZX,7900.0,102000,2800.0,64029,2.8-Liter L28 Inline-Six
6216,6216,1989,Mercedes-Benz,Mercedes-Benz R107 SL,25750.0,63000,5500.0,90650,5.5-Liter V8
6218,6218,1987,Chevrolet,Chevrolet Pickup,18350.0,230000,5700.0,60712,Replacement 5.7-Liter V8
6219,6219,1984,Chevrolet,Chevrolet Corvette C4,8250.0,38000,5700.0,75061,5.7-liter L83 V8
6221,6221,1977,Chevrolet,Chevrolet Monte Carlo,11500.0,38000,4998.035,49512,305ci V8
6222,6222,2020,BMW,BMW F82/F83 M4,74000.0,8000,3000.0,80504,Twin-Turbocharged 3.0L Inline-Six
6224,6224,1966,Chevrolet,Chevrolet Chevelle,65000.0,30000,6489.252,56401,396ci L35 V8
6225,6225,1986,Ford,Ford Fox-Body Mustang,13850.0,37000,4948.874,13601,302ci V8
6228,6228,2008,Porsche,Porsche Cayenne,23500.0,62000,4800.0,33186,4.8-Liter V8
6229,6229,2016,Chevrolet,Chevrolet Corvette C7,69888.0,19000,6200.0,91367,Supercharged 6.2-Liter LT4 V8
6230,6230,1949,Ford,Ford F-Series 1948-1952,34000.0,79000,3703.462,95628,226ci Inline-Six
6231,6231,2006,Mini,Mini Modern,14800.0,39000,1600.0,53114,Supercharged 1.6-Liter Inline-Four
6233,6233,1981,Datsun,Datsun 280ZX,37250.0,33000,2800.0,29588,Turbocharged 2.8L Inline-Six
6235,6235,2006,Mercedes-Benz,Mercedes-Benz R230 SL,18250.0,89000,5000.0,77406,5.0-Liter V8
6238,6238,1995,Mercedes-Benz,Mercedes-Benz W124 E-Class,7300.0,134000,3200.0,63005,3.2-Liter Inline-Six
6241,6241,1957,Austin-Healey,Austin-Healey 100-6,32000.0,56000,2600.0,82801,2.6-Liter Inline-Six
6242,6242,1986,Honda,Honda Civic,9600.0,112000,1500.0,98021,1.5-Liter Inline-Four
6243,6243,1996,Ford,Ford Mustang SN95 1994-2004,15500.0,42000,4600.0,60120,4.6-Liter V8
6244,6244,1972,Porsche,Porsche Longhood 911,76500.0,41000,2400.0,2052,2.4-Liter Flat-Six
6245,6245,1987,Land Rover,Land Rover 110 / Defender 110 (Euro Spec),95500.0,57000,2800.0,80504,Replacement 2.8-Liter Turbodiesel Inline-Four
6246,6246,1999,Porsche,Porsche 996 911,26000.0,65000,3400.0,92118,3.4-Liter Flat-Six
6249,6249,1968,Oldsmobile,Oldsmobile 4-4-2,29000.0,21000,6554.8,48042,400ci V8 
6250,6250,2001,BMW,BMW E46 3-Series Coupe,14750.0,55000,3000.0,34771,3.0-Liter M54 Inline-Six
6251,6251,2001,Ford,Ford Super Duty 1999-2007,31000.0,61000,7300.0,27616,Turbodiesel 7.3-Liter Power Stroke V8
6252,6252,1963,Buick,Buick Riviera,11000.0,78000,6571.187,48313,401ci Nailhead V8
6253,6253,1969,MG,MG MGC,11750.0,71000,2900.0,19460,2.9-Liter Inline-Six
6255,6255,1976,Jaguar,Jaguar XJ,27000.0,12000,4200.0,48331,4.2-Liter Inline-Six
6257,6257,2011,Porsche,Porsche 987 Boxster,71200.0,20000,3400.0,33021,3.4-Liter Flat-Six
6258,6258,1968,Ford,Ford Bronco U13/U14/U15 1966-1977,127999.0,1000,5000.0,95120,5.0-Liter V8
6259,6259,1964,Plymouth,Plymouth Fury,20000.0,49000,6276.2210000000005,13619,383ci V8
6262,6262,1960,Chevrolet,Chevrolet Corvette C1,61222.0,16000,4637.521,78734,Replacement 283ci V8
6263,6263,1967,Volvo,Volvo Amazon,8400.0,73000,2000.0,78756,Replacement 2.0-Liter B20 Inline-Four 
6264,6264,1962,Chevrolet,Chevrolet Impala,40409.0,23000,6702.283,54201,Replacement 409ci V8
6265,6265,1976,Ford,Ford F-Series 1973-1979,14000.0,22000,5899.32,17603,360ci V8
6267,6267,1971,Mercedes-Benz,Mercedes-Benz W113 SL,70000.0,4000,2800.0,92126,2.8L Inline-Six
6268,6268,2012,BMW,BMW E90/E92/E93 M3,59555.0,6000,4000.0,76044,4.0-Liter V8
6270,6270,2003,Aston Martin,Aston Martin Vanquish,145000.0,10000,5900.0,7901,5.9-Liter V12
6273,6273,1970,Ford,Ford Hot Rod,41500.0,13000,5735.45,45150,GM 350ci V8
6274,6274,1978,Toyota,Toyota Land Cruiser FJ40,22250.0,18000,5735.45,84043,350ci V8
6275,6275,2003,Mercedes-Benz,Mercedes-Benz W211 E-Class,8301.0,49000,3200.0,2633,3.2-Liter V6
6278,6278,2004,Porsche,Porsche 996 911,43500.0,53000,3600.0,98177,3.6-Liter Flat-Six
6279,6279,2008,Mercedes-Benz,Mercedes-Benz W221 S-Class,18500.0,86000,5500.0,60025,5.5-Liter V8
6280,6280,1959,BMW,BMW Isetta,30911.0,67000,298.0,94901,298cc Air-Cooled Single-Cylinder Engine
6281,6281,2006,Ferrari,Ferrari F430,127000.0,16000,4300.0,60089,4.3-Liter DOHC V8
6282,6282,1975,Triumph,Triumph TR6,24000.0,18000,2500.0,21030,2.5-Liter Inline-Six
6283,6283,1972,Chevrolet,Chevrolet K5 Blazer 1969-1972,65000.0,12000,5735.45,80229,350ci V8
6284,6284,1974,Mercedes-Benz,Mercedes-Benz R107 SL,11750.0,75000,4500.0,27409,4.5-Liter M117 V8
6285,6285,2008,Porsche,Porsche 987 Cayman,24249.0,71000,2700.0,20837,2.7-Liter Flat-Six
6289,6289,1991,Toyota,Toyota Pickup,17500.0,189000,2800.0,3598,2.8L Diesel Inline-Four
6290,6290,1994,Chevrolet,Chevrolet Corvette C4,32000.0,49000,5700.0,50325,5.7-Liter LT5 V8
6291,6291,1997,Porsche,Porsche 986 Boxster,14500.0,59000,2500.0,91910,2.5-Liter Flat-Six
6293,6293,2012,Land Rover,Land Rover Range Rover L322,30000.0,76000,5000.0,13224,Supercharged 5.0-Liter V8
6294,6294,2002,BMW,BMW E39 M5,51000.0,50000,4900.0,92109,4.9-Liter V8
6295,6295,1973,Volkswagen,Volkswagen Beetle,11000.0,75000,1600.0,22314,1.6-Liter Flat-Four
6296,6296,1988,BMW,BMW E30 3-Series,40000.0,98000,2500.0,94546,2.5-Liter Inline-Six
6297,6297,1988,Porsche,Porsche 356 Speedster Replica,33600.0,19000,1600.0,84025,1.6-Liter Flat-Four
6298,6298,1996,BMW,BMW Z3,10250.0,64000,1900.0,92037,1.9-Liter M44 Inline-Four
6301,6301,1988,Mercedes-Benz,Mercedes-Benz R107 SL,37500.0,47000,5500.0,92807,5.5-Liter V8
6303,6303,2006,BMW,BMW E46 330 ZHP,28000.0,37000,3000.0,34771,3.0-Liter M54 Inline-Six
6304,6304,2022,Porsche,Porsche 992 911,182000.0,182000,3000.0,1845,Twin-Turbocharged 3.0-Liter Flat-Six
6306,6306,1991,Porsche,Porsche 964 Turbo,195000.0,42000,3300.0,92705,Turbocharged 3.3-Liter Flat-Six
6307,6307,1980,Datsun,Datsun 280ZX,11500.0,61000,2800.0,1803,Fuel-Injected 2.8L Inline-Six
6308,6308,2008,Porsche,Porsche Cayenne,34500.0,51000,4800.0,7074,Twin-Turbocharged 4.8-Liter V8
6311,6311,2013,BMW,BMW E82/E88 1-Series,17500.0,50000,3000.0,23233,3.0-Liter N51 Inline-Six
6312,6312,1961,Cadillac,Cadillac Series 62,29500.0,22000,6390.93,16156,390ci V8
6313,6313,1992,Mercedes-Benz,Mercedes-Benz W140 S-Class,12000.0,57000,6000.0,92130,6.0-Liter V12
6315,6315,1994,Porsche,Porsche 968,18500.0,75000,3000.0,18036,3.0-Liter Inline-Four
6316,6316,1995,Porsche,Porsche 993 911,37750.0,165000,3600.0,70005,Air-Cooled 3.6L Flat-Six
6317,6317,1988,Porsche,Porsche 928,37000.0,76000,5000.0,57108,5.0-liter DOHC V8
6318,6318,1972,Oldsmobile,Oldsmobile Cutlass,20500.0,43000,7456.085,95765,Retrofitted 455ci V8
6319,6319,1984,Mercedes-Benz,Mercedes-Benz R107 SL,15500.0,82000,3800.0,6810,Replacement 3.8-Liter V8 
6321,6321,1967,Chevrolet,Chevrolet El Camino,23000.0,12000,6489.252,2837,396ci V8
6322,6322,1983,Volvo,Volvo 240,11500.0,165000,2100.0,98277,Turbocharged 2.1-Liter Inline-Four
6326,6326,1980,Volkswagen,Volkswagen Golf/Rabbit Cabriolet,11850.0,83000,1600.0,2703,1.6-Liter Inline-Four
6327,6327,2009,Porsche,Porsche 997 Turbo,100000.0,22000,3600.0,7430,Twin-Turbocharged 3.6L Flat-Six
6328,6328,2013,Toyota,Toyota Pickup,27250.0,179000,4000.0,31410,4.0-Liter V6
6330,6330,2003,Mercedes-Benz,Mercedes-Benz AMG,30550.0,30000,5400.0,94010,Supercharged 5.4-Liter V8
6333,6333,2006,Lamborghini,Lamborghini Murciélago,177000.0,14000,6200.0,97227,6.2-Liter V12
6334,6334,1998,Porsche,Porsche 993 911,205000.0,12000,3600.0,95051,3.6-Liter Flat-Six
6335,6335,1989,Porsche,Porsche 964 911,77500.0,137000,3600.0,34453,Supercharged 3.6-Liter Flat-Six
6339,6339,1990,Porsche,Porsche 928,43500.0,88000,5000.0,36532,5.0-Liter V8
6342,6342,1966,Chevrolet,Chevrolet Corvette C2,89000.0,55000,6997.249,85262,427ci L72 V8
6343,6343,1999,Plymouth,Plymouth Prowler,30250.0,23000,3500.0,38138,3.5-Liter V6
6344,6344,2005,Lamborghini,Lamborghini Gallardo,72000.0,61000,5000.0,75093,5.0-Liter V10
6345,6345,2003,BMW,BMW E39 5-Series,12500.0,145000,4400.0,30005,4.4-Liter M62 V8
6346,6346,2005,Chevrolet,Chevrolet Pickup,42500.0,7000,6000.0,53575,6.0-Liter LS2 V8
6347,6347,2000,Jeep,Jeep Wrangler,21500.0,35000,4000.0,29536,4.0-Liter Inline-Six
6350,6350,1987,Porsche,Porsche 930 Turbo,83000.0,12000,3300.0,95476,Turbocharged 3.3-Liter Flat-Six
6355,6355,1990,Toyota,Toyota Land Cruiser 60-Series,30500.0,155000,4000.0,27514,4.0-Liter Inline-Six
6356,6356,1996,Porsche,Porsche 993 Turbo,177000.0,88000,3600.0,2493,Twin-Turbocharged 3.6L Flat-Six
6358,6358,1995,Land Rover,Land Rover Range Rover Classic,40000.0,128000,4200.0,94063,4.2-Liter Rover V8
6360,6360,2003,Porsche,Porsche 996 911,40000.0,67000,3600.0,85022,3.6-Liter Flat-Six
6363,6363,1991,Acura,Acura NSX NA1/NA2,67777.0,64000,3000.0,7026,3.0-Liter V6
6367,6367,2000,Mercedes-Benz,Mercedes-Benz W210 E-Class,26000.0,82000,5400.0,30075,5.4-Liter M113 V8
6371,6371,2001,Jaguar,Jaguar XK8,13610.0,75000,4000.0,95131,4.0-Liter DOHC V8
6372,6372,2006,Toyota,Toyota Land Cruiser 100-Series,12000.0,179000,4700.0,95131,4.7-Liter V8
6373,6373,1974,Porsche,Porsche 914,40911.0,19000,2000.0,20879,2.0-Liter Flat-Four
6374,6374,2009,Porsche,Porsche 997 911,45750.0,104000,3800.0,94403,3.8-Liter Flat-Six
6376,6376,2007,Aston Martin,Aston Martin V8 Vantage,53500.0,37000,4300.0,1095,4.3-Liter V8
6377,6377,2003,Porsche,Porsche 996 Turbo,58527.0,72000,3600.0,94608,Twin-Turbocharged 3.6L Flat-Six
6378,6378,1988,Oldsmobile,Oldsmobile Cutlass,25500.0,34000,5000.0,43125,5.0-Liter V8
6379,6379,2006,Porsche,Porsche Cayenne,25750.0,79000,4500.0,44133,Twin-Turbocharged 4.5-Liter V8
6381,6381,1993,Cadillac,Cadillac Allanté,9100.0,55000,4600.0,60585,4.6-Liter Northstar V8
6384,6384,1988,Toyota,Toyota AW11 MR2,16750.0,196000,1600.0,76054,Replacement Supercharged 1.6-Liter Inline-Four
6385,6385,2004,Ferrari,Ferrari 360,215000.0,20000,3600.0,21784,3.6-Liter V8
6387,6387,1966,Triumph,Triumph TR4,35000.0,53000,2100.0,2360,2.1-Liter Inline-Four
6388,6388,1968,Pontiac,Pontiac GTO,44444.0,22000,6554.8,7719,400ci HO V8
6391,6391,2008,BMW,BMW Z4 M Roadster,32250.0,23000,3200.0,98037,3.2-Liter S54 Inline-Six
6392,6392,1978,MG,MG MGB,13500.0,7000,1800.0,70810,1.8-Liter Inline-Four
6393,6393,1977,Chevrolet,Chevrolet Corvette C3,17000.0,16000,5735.45,73703,350ci L48 V8
6394,6394,1990,Porsche,Porsche 964 911,94964.0,131000,3600.0,90803,3.6-Liter M64 Flat-Six
6395,6395,1986,Toyota,Toyota 4Runner,24750.0,206000,2400.0,30338,Turbocharged 2.4L Inline-Four
6398,6398,1997,Toyota,Toyota Land Cruiser 80-Series,27250.0,165000,4500.0,4573,4.5-Liter Inline-Six
6399,6399,1997,Chevrolet,Chevrolet Camaro 4th Generation 1993-2002,22250.0,17000,5700.0,94530,5.7-Liter LT1 V8
6400,6400,2012,Mercedes-Benz,Mercedes-Benz SLS AMG,153000.0,15000,6200.0,92627,6.2-Liter V8
6401,6401,2003,BMW,BMW E46 M3,26250.0,80000,3200.0,2703,3.2-Liter Inline-Six
6402,6402,2008,BMW,BMW E92/E93 3-Series Coupe & Convertible,24000.0,34000,3000.0,44133,Twin-Turbocharged 3.0L Inline-Six
6403,6403,2002,Chevrolet,Chevrolet Pickup,20000.0,25000,5300.0,53114,5.3-Liter Vortec V8
6405,6405,1965,Jaguar,Jaguar XKE Series I,91000.0,67000,4200.0,92126,4.2-Liter Inline-Six
6406,6406,1965,Mercury,Mercury Comet,55600.0,2000,6997.249,44641,Ford Motorsport 427ci V8
6407,6407,2007,Audi,Audi RS4,34500.0,91000,4200.0,83702,4.2-Liter DOHC V8
6408,6408,2015,Chevrolet,Chevrolet Camaro 5th Generation 2010-2015,47750.0,131000,6200.0,85053,Supercharged 6.2-Liter V8
6409,6409,1967,Volkswagen,Volkswagen Beetle,12250.0,88000,1600.0,18414,"1,600cc Flat-Four"
6411,6411,1964,Amphicar,Amphicar Model 770,143000.0,14000,1147.0,66208,"1,147cc OHV Inline-Four"
6412,6412,1972,Volkswagen,Volkswagen Bus,31000.0,56000,1700.0,97304,1.7-Liter Flat-Four
6416,6416,1996,Hummer,Hummer H1,45250.0,76000,6500.0,30701,Turbodiesel 6.5-Liter V8
6417,6417,1995,Chevrolet,Chevrolet Pickup,17550.0,38000,5700.0,98273,5.7-Liter V8
6418,6418,2002,BMW,BMW Z3,14000.0,45000,3000.0,7074,3.0-Liter Inline-Six
6419,6419,2002,BMW,BMW E39 M5,34750.0,72000,4900.0,60634,4.9-Liter V8
6421,6421,2007,Porsche,Porsche 997 Turbo,172555.0,10000,3600.0,92627,Twin-Turbocharged 3.6L Flat-Six
6423,6423,1985,Toyota,Toyota Celica,20000.0,38000,2400.0,91367,2.4-Liter Inline-Four
6424,6424,1989,Porsche,Porsche 944 Turbo,43500.0,111000,5700.0,75231,Modified GM 5.7L LS1 V8
6425,6425,1993,Land Rover,Land Rover 90 / Defender 90 (Euro Spec),65000.0,109000,6000.0,19958,Chevrolet Performance 6.0L V8 Crate Engine
6426,6426,1967,Chrysler,Chrysler Imperial,18500.0,39000,7210.280000000001,33912,440ci V8
6428,6428,1999,Porsche,Porsche 996 911,23250.0,74000,3400.0,92679,3.4-Liter Flat-Six
6429,6429,1969,BMW,BMW Motorcycles,15526.0,19000,594.0,94112,594cc Opposed Twin
6431,6431,1999,Chevrolet,Chevrolet Corvette C5,20250.0,25000,5700.0,28092,5.7-Liter LS1 V8
6432,6432,2021,Ford,Ford U725 Bronco,72331.0,52000,2700.0,44657,Twin-Turbocharged 2.7-Liter EcoBoost V6
6433,6433,2010,BMW,BMW E90/E92/E93 M3,36000.0,55000,4000.0,28203,4.0-liter S65 V8
6435,6435,1966,Oldsmobile,Oldsmobile 88,10250.0,49000,6964.475,31308,425ci Super Rocket V8
6436,6436,1989,Porsche,Porsche 911 Carrera 3.2,145000.0,75000,3200.0,97227,3.2-Liter Flat-Six
6438,6438,1995,Toyota,Toyota Supra,87500.0,133000,3000.0,98250,Twin-Turbocharged 3.0L Inline-Six
6439,6439,1999,BMW,BMW E36 M3,13500.0,53000,3200.0,3051,3.2-Liter Inline-Six
6440,6440,2010,Porsche,Porsche 997 911,82000.0,51000,3800.0,90018,3.8-Liter Flat-Six
6441,6441,1992,Mercedes-Benz,Mercedes-Benz W124 E-Class,14250.0,61000,2500.0,92120,2.5L Turbodiesel Inline-Five 
6442,6442,2004,BMW,BMW E46 M3,34000.0,48000,3200.0,34242,3.2-Liter S54 Inline-Six
6443,6443,1997,Chevrolet,Chevrolet Pickup,27000.0,30000,7400.0,84065,7.4-Liter V8
6444,6444,1989,Mercedes-Benz,Mercedes-Benz W126 S-Class,9250.0,50000,5500.0,70448,Replacement 5.5-Liter M117 V8
6446,6446,2002,BMW,BMW Z8,212000.0,11000,4900.0,75235,4.9-Liter V8
6447,6447,2003,Porsche,Porsche 996 911,55000.0,25000,3600.0,11729,3.6-Liter Flat-Six
6448,6448,1990,Ford,Ford Saleen,79500.0,11000,4948.874,23230,Fuel-Injected 302ci V8
6450,6450,2017,Maserati,Maserati GranTurismo,60000.0,15000,4700.0,93108,4.7-Liter F136 V8
6456,6456,1997,Acura,Acura NSX NA1/NA2,105000.0,55000,3200.0,93401,3.2-Liter V6
6461,6461,2011,Porsche,Porsche 987 Cayman,36500.0,56000,3400.0,91502,3.4-Liter Flat-Six
6462,6462,1980,International Harvester,International Harvester Scout,27000.0,38000,5653.515,26404,345ci V8
6463,6463,1995,Porsche,Porsche 993 911,57250.0,72000,3600.0,85258,3.6-Liter Flat-Six
6465,6465,2005,Mercedes-Benz,Mercedes-Benz R230 SL,30500.0,18000,5000.0,20837,5.0-Liter V8
6466,6466,1989,BMW,BMW E30 3-Series,15000.0,33000,2500.0,32043,2.5-Liter Inline-Six
6467,6467,2005,Jaguar,Jaguar XJ,23500.0,11000,4200.0,34110,4.2-Liter V8
6468,6468,1996,Porsche,Porsche 993 911,177777.0,45000,3600.0,97227,3.6-Liter Flat-Six
6469,6469,1994,Land Rover,Land Rover Defender 90 NAS,75000.0,39000,3900.0,33181,3.9-Liter V8
6470,6470,1975,MG,MG Midget,13500.0,82000,1500.0,75061,1.5-Liter OHV Inline-Four
6473,6473,2005,Mercedes-Benz,Mercedes-Benz R230 SL,33000.0,22000,5500.0,53932,Twin-Turbocharged 5.5L V12
6474,6474,2016,Ford,Ford Mustang S550,52500.0,5000,5200.0,84049,5.2-Liter Voodoo V8
6475,6475,1968,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,37000.0,30000,5358.549,38128,327ci V8
6476,6476,1998,BMW,BMW Z3,12750.0,79000,2800.0,27606,2.8-Liter Inline-Six
6478,6478,2006,BMW,BMW Z4 M Roadster,27250.0,59000,3200.0,19087,3.2-Liter Inline-Six
6479,6479,2005,Jeep,Jeep Wrangler,26000.0,32000,4000.0,78704,4.0-Liter Inline-Six
6480,6480,1972,Ford,Ford F-Series 1967-1972,21500.0,60000,4948.874,23237,302ci V8
6481,6481,2000,Porsche,Porsche 986 Boxster,18755.0,69000,3200.0,48150,3.2-Liter Flat-Six
6483,6483,2011,Mercedes-Benz,Mercedes-Benz SLS AMG,211000.0,19000,6200.0,33067,6.2-Liter V8
6485,6485,1993,Mercedes-Benz,Mercedes-Benz W124 E-Class,7900.0,119000,2800.0,83835,2.8-Liter M104 Inline-Six
6486,6486,2013,BMW,BMW E92/E93 3-Series Coupe & Convertible,32000.0,21000,3000.0,7074,Turbocharged 3.0-Liter Inline-Six
6487,6487,1978,Mercedes-Benz,Mercedes-Benz W116 S-Class,15500.0,49000,4500.0,19382,4.5-Liter V8
6488,6488,2007,Mercedes-Benz,Mercedes-Benz W221 S-Class,27250.0,56000,5500.0,43206,Twin-Turbocharged 5.5-Liter V12
6489,6489,1965,Buick,Buick Skylark,10000.0,67000,6571.187,92121,401ci Nailhead V8
6491,6491,2013,Toyota,Toyota FJ Cruiser,33000.0,43000,4000.0,99001,4.0-Liter V6
6492,6492,1966,Volkswagen,Volkswagen Bus,25500.0,3000,1776.0,71964,"Replacement 1,776cc Flat-Four"
6493,6493,2018,Mercedes-Benz,Mercedes-Benz AMG,131000.0,16000,5500.0,85260,Twin-Turbocharged 5.5-Liter V8
6494,6494,1973,DeTomaso,DeTomaso Pantera,68000.0,147000,5751.837,28213,351ci V8
6495,6495,2007,Mercedes-Benz,Mercedes-Benz W221 S-Class,39000.0,49000,6000.0,53114,Twin-Turbocharged 6.0-Liter V12
6497,6497,2004,Toyota,Toyota Land Cruiser 100-Series,25250.0,132000,4700.0,80122,4.7-Liter V8
6498,6498,1989,Chevrolet,Chevrolet Suburban,10000.0,46000,5700.0,3051,5.7-Liter V8
6500,6500,1967,Volkswagen,Volkswagen Beetle,31000.0,80000,2165.0,90025,"2,165cc Flat-Four "
6501,6501,1989,Mercedes-Benz,Mercedes-Benz R107 SL,36000.0,68000,5500.0,90640,5.5-Liter M117 V8
6502,6502,1967,Land Rover,Land Rover Series 109,20500.0,40000,2250.0,90640,2.25-Liter Gasoline Inline-Four
6503,6503,2006,Porsche,Porsche 987 Boxster,32000.0,6000,3200.0,55118,3.2-Liter Flat-Six
6505,6505,2002,Mercedes-Benz,Mercedes-Benz Gelandewagen,27250.0,200000,5000.0,7074,5.0-Liter V8
6506,6506,2004,Ford,Ford Excursion,48277.0,55000,6000.0,85365,6.0L Power Stroke Turbodiesel V8
6507,6507,2004,Ford,Ford GT40 Replica,115000.0,174000,6997.249,55391,427ci V8
6509,6509,1972,Pontiac,Pontiac Grand Prix,21000.0,60000,6554.8,60462,400ci V8
6510,6510,1985,Mercedes-Benz,Mercedes-Benz W123,8400.0,181000,3000.0,85382,Turbodiesel 3.0-Liter Inline-Five
6511,6511,2011,BMW,BMW E90 3-Series Sedan,18000.0,52000,3000.0,10560,3.0-Liter Inline-Six
6512,6512,2000,Toyota,Toyota Pickup,11550.0,249000,3400.0,98110,3.4-Liter V6
6515,6515,2007,Porsche,Porsche 997 911,70500.0,25000,3800.0,44012,3.8-Liter Flat-Six
6516,6516,2017,Chevrolet,Chevrolet SS Sedan,42500.0,38000,6200.0,77009,6.2-Liter LS3 V8
6517,6517,1988,Ford,Ford Bronco 4th-5th Generations 1987-1996,28500.0,85000,5000.0,28460,5.0-Liter V8
6518,6518,1962,Land Rover,Land Rover Series 88,25000.0,98000,2250.0,85258,2.25-Liter Inline-Four
6521,6521,1999,Chevrolet,Chevrolet Corvette C5,19750.0,19000,5700.0,27525,5.7-Liter LS1 V8
6522,6522,1999,Porsche,Porsche Longhood 911,129100.0,7000,2400.0,77079,Numbers-Matching 2.4-Liter Flat-Six
6523,6523,2010,Porsche,Porsche Cayenne,37500.0,72000,4800.0,94541,4.8-Liter V8
6524,6524,1967,Mercury,Mercury Cougar,21000.0,63000,4948.874,65803,Fuel-Injected 302ci V8
6525,6525,1990,Toyota,Toyota Land Cruiser 60-Series,22349.0,258000,4000.0,80550,4.0-Liter 3F-E Inline-Six
6527,6527,2008,Hummer,Hummer H3,22008.0,86000,5300.0,59870,5.3-Liter Vortec V8
