,year,make,model,final_price,mileage,engine,zipcode
204,1997,Toyota,Toyota Pickup,"$16,750",0,2.0-liter 3Y Inline-Four,38501
205,2017,Mercedes-Benz,Mercedes-Benz Gelandewagen,"$230,000",900000,Twin-Turbocharged 4.0-Liter V8,92627
206,1999,Mazda,Mazda Miata,"$14,500",24000,1.8-Liter Inline-Four,85281
207,1963,Chevrolet,Chevrolet Impala,"$51,500",82000,327ci V8,95492
208,2004,MV Agusta,00s,"$15,100",0,19 Miles,92620
209,2013,Ford,Ford Mustang S197 2005-2014,"$51,500",0,5.0-Liter Road Runner V8,8902
210,1991,GMC,GMC Syclone,"$34,500",104000,Turbocharged 4.3-Liter V6,95124
211,1976,Honda,Honda Motorcycles,"$12,500",8000,999cc SOHC Flat-Four,78727
212,1966,Honda,Honda Motorcycles,"$2,400",0,49cc Four-Stroke SOHC Single,40291
213,1978,MG,MG Midget,"$9,466",39000,"1,500cc Inline-Four",44481
214,1973,Ford,Ford F-Series 1973-1979,"$30,500",74000,360ci V8,92626
215,2004,Ducati,00s,"$29,998",0,"1,100 Miles Shown",87111
216,1965,Volkswagen,Volkswagen Bus,"$152,013",47000,21-Window Deluxe Samba,92672
217,2008,Ford,Ford Mustang S197 2005-2014,"$18,600",20000,4.6-Liter V8,7074
218,2002,Porsche,Porsche 996 911,"$30,250",60000,3.6-Liter Flat-Six,29588
219,1977,Mercedes-Benz,Mercedes-Benz R107 SL,"$14,750",39000,4.5-Liter M117 V8,70433
220,2001,BMW,BMW E39 5-Series,"$13,250",60000,2.5-Liter Inline-Six,19348
221,2012,Land Rover,Land Rover Range Rover Sport L320,"$26,000",52000,Supercharged 5.0-Liter V8,90265
222,1950,MG,MG TD,"$18,000",5000,XPAG Inline-Four,52101
223,1972,Ford,Ford Bronco U13/U14/U15 1966-1977,"$26,000",600000,302ci V8,97756
224,1998,Jaguar,Jaguar XJ,"$7,500",74000,4.0-Liter V8 ,7074
225,2001,Mercedes-Benz,Mercedes-Benz CLK-Class,"$19,001",21000,3.2-Liter M112 V6,7753
226,1995,Nissan,Nissan 300ZX,"$27,000",134000,Twin-Turbocharged 3.0L V6,32966
227,2001,BMW,BMW E46 M3,"$26,000",30000,3.2-Liter S54 Inline-Six,46802
228,1978,Ford,Ford Bronco 2nd Generation 1978-1979,"$16,500",44000,427ci Stroker V8,43449
